#NPCID,コメント,上半身(ATTR),下半身,靴,顔,髪型,帽子,髪飾りＵＰ,髪飾り左側,髪飾り右側,髪飾りＤＯＷＮ,顔飾り,右すね,肩パット右,肩パット左,胸アクセ,右手握り,左手甲,背負い,左すね,右足甲,しっぽ,付け髪ＵＰ,付け髪左サイド,付け髪右サイド,付け髪ＤＯＷＮ,右手甲,左足甲,左手握り,腰,腰追加分s26,エフェクト,タイツ,攻撃エフェクトID,トレイルエフェクトＩＤ,下半身１,下半身2,下半身3,
11000945,憑依対象の女の子,01_00_19_00,,01_09_02_00,01_02_51_00,01_03_05_50,,,,,,,,,,01_08_17_00,,,,,,,01_04_07_00,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_01_00,
11000946,ソードマンのお兄さん,00_00_44_00,00_23_06_00,,00_02_41_00,00_03_01_01,,,,,,,,00_20_17_00,00_20_17_00,,,,,,,,,,,,,,,,,,,,,,,,
11000947,フェンサーのお兄さん,02_00_42_00,02_23_05_00,,02_02_03_00,02_03_08_60,02_05_16_00,,,,,,,,,,,,02_18_03_00,,,,02_05_19_60,,,,,,,,,,,,,,,,
11000950,ウィザードのお姉さん,03_00_42_00,,03_09_07_02,03_02_41_00,03_03_10_01,03_05_23_00,,,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_03,03_24_00_03,03_25_03_03,
11000951,シャーマンのお姉さん,01_00_45_00,,01_09_20_00,01_02_42_00,01_03_05_10,,01_06_12_00,,,,,,,,01_08_24_00,,,,,,,01_04_08_10,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_05_00,
11000952,ウァテスのお姉さん,03_00_43_00,,03_09_06_52,03_02_50_00,03_03_02_60,03_05_16_00,,,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_00,03_24_00_00,03_25_00_00,
11000953,ウォーロックのお兄さん,04_00_40_00,,04_09_04_51,04_02_60_00,04_03_10_70,04_05_25_00,,,,,,,,,,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,,04_25_00_00,
11000955,ファーマーのお姉さん,01_00_41_00,,01_09_07_00,01_02_40_00,01_03_06_50,01_06_20_00,01_04_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_03_00,
11000956,マーチャントのお姉さん,01_00_46_00,,01_09_19_00,01_02_40_00,01_03_05_50,,,,,,,,,,,01_19_03_00,,01_18_02_00,,,,01_04_07_00,,,,,,01_19_13_00,,,,,,,01_01_00_00,01_24_00_00,01_25_00_00,
11000958,レンジャーのお兄さん,00_00_43_00,00_26_09_50,00_09_19_00,00_02_40_00,00_03_08_51,,,,,,00_06_11_00,,,,,,,,,,,,,,,,,,,,,,,,,00_24_00_00,00_25_03_00,
11000976,整備のお兄さん,00_00_51_00,00_26_15_00,00_09_07_00,00_02_41_00,00_03_10_09,00_05_02_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_03_00,
11000936,マーシャ,01_00_90_00,01_01_00_00,01_09_24_00,01_02_90_00,01_03_90_00,,00_04_19_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_01_00,
11000977,デ?ジ?キャラット,4053_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001017,カフェ店員,01_00_81_02,,01_09_64_00,01_02_41_00,01_03_23_51,01_04_17_51,01_06_07_04,,,,,,,,,01_16_13_00,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_03_03,
11000987,カフェ店員,01_00_81_02,,01_09_07_03,01_02_40_00,01_03_16_50,,01_06_07_04,,,,,,,,,01_16_13_00,,,,,,,,,,,,,,,,,,,01_01_00_07,01_24_00_07,01_25_03_07,
11000988,カフェ店員,01_00_81_02,,01_09_64_00,01_02_41_00,01_03_22_52,,01_06_07_04,,,,01_07_07_50,,,,,01_16_13_00,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_03_03,
11000989,カフェ店員,01_00_81_02,,01_09_07_09,01_02_40_00,01_03_21_10,01_04_25_10,01_06_07_04,,,,,,,,,01_16_13_00,,,,,,,,,,,,,,,,,,,01_01_00_09,01_24_00_09,01_25_03_09,
11000986,カフェ店員,01_00_81_02,,01_09_64_00,01_02_41_00,01_03_15_09,01_04_34_09,01_06_07_04,,,,,,,,,01_16_13_00,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_03_03,
11001020,カフェ店員,01_00_81_02,,01_09_07_03,01_02_40_00,01_03_09_08,,01_06_07_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_07,01_24_00_07,01_25_03_07,
11000990,駆け出し冒険者,01_00_03_06,01_26_02_50,01_09_02_03,01_02_42_00,01_03_05_50,01_04_10_50,,,,,,,,,01_08_35_00,,,,,,,,,,,,,,,,,,,,,01_24_00_01,01_25_02_01,
11000991,駆け出し冒険者,00_00_27_50,00_26_05_52,00_09_03_52,00_02_41_00,00_03_00_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_00_00,
11000998,ギャンブルマスター,01_00_71_00,01_26_05_53,01_09_07_09,01_02_03_00,01_03_09_01,,,,,,,,,,01_08_21_50,,,,,,,,,,,,,,,,,,,,null,null,01_25_03_00,
11000999,囚人１号,01_00_29_52,01_26_07_52,,01_02_03_03,01_03_05_12,01_04_08_12,01_06_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_25_00_00,
11001000,囚人２号,00_00_29_52,00_26_07_52,,00_02_03_03,00_03_05_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_00_00,
11001001,囚人３号,04_00_29_52,04_26_07_52,,04_02_03_02,04_03_11_10,,,,,,,,,,04_08_22_00,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,,00_25_00_00,
11001002,囚人４号,05_00_29_52,05_26_07_52,,05_02_03_04,05_03_09_08,05_06_02_08,,,,,,,,,05_08_22_00,,,05_18_04_00,,,05_21_00_00,,,,,,,,,,,,,,,,00_25_00_00,
11001007,ギャンブラーギルド受付,01_00_71_50,01_26_05_54,01_09_07_01,01_02_03_01,01_03_09_01,,,,,,,,,,01_08_21_50,,,,,,,,,,,,,,,,,,,,null,null,01_25_03_00,
11001008,ギャンブラー,01_00_49_50,01_26_08_57,01_09_26_00,01_02_03_01,01_03_05_12,01_04_08_12,01_06_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_24_00_03,01_25_03_03,
11001009,ギャンブラー,00_00_45_00,00_26_08_00,00_09_07_09,00_02_03_01,00_03_05_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_03_00,
11001010,ギャンブラー,05_00_21_03,,,05_02_03_01,05_03_09_08,05_06_02_08,,,,,,,,,05_08_22_00,,,05_18_04_00,,,05_21_00_00,,,,,,,,,,,,,,,,,
11001011,ギャンブラー,04_00_45_50,04_26_08_50,04_09_07_04,04_02_03_01,04_03_11_10,,,,,,,,,,04_08_22_00,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,,04_25_03_00,
11001021,軍モックー,2006_00_00_05,,,,,,,,,,,,,,,,,2006_18_00_00,,,,,,,,,,,,,,,,,,,,
11001022,軍ハレルヤ,2030_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001023,軍人　トンカ男,4019_00_00_02,,,4019_02_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001024,軍人　トンカ女,4018_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001025,職人　トンカ男,4019_00_00_07,,,4019_02_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001026,職人　トンカ女,4018_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001027,手伝いハレルヤ,2030_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001028,マリオネストマスター代表A,4036_00_00_11,,,4036_02_00_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001029,マリオネストマスター代表B,4036_00_00_11,,,4036_02_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001030,職人　トンカ男,4019_00_00_11,,,4019_02_00_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001031,職人　トンカ女,4018_00_00_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001032,悪いハレルヤ,2030_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001033,モーグおばさんA　,4017_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001034,モーグおばさんB,4017_00_00_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001052,軍人　トンカ女,4018_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001068,マシンナリー,00_00_43_51,00_26_07_53,00_09_03_52,00_02_40_00,00_03_08_01,00_07_18_00,00_06_44_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_01_00_00,00_24_00_00,00_25_00_00,
11001070,マシンナリー,00_00_43_50,00_26_07_53,00_09_03_52,00_02_40_00,00_03_02_10,00_07_18_50,00_06_44_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_01_00_00,00_24_00_00,00_25_00_00,
#ダンプティーアイランド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001165,フシギなメイドさん,05_00_70_00,,,05_02_62_00,05_03_91_00,,01_06_48_00,,,,,,,,,,,05_18_04_00,,,05_21_00_00,,,,,,,,,,,,,,05_01_15_00,null,null,
#なんでも触媒店員,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001171,触媒店員長女,01_00_69_50,,01_09_36_50,01_02_42_00,01_03_20_01,01_07_10_50,01_04_37_01,01_06_04_50,,,,,,,,01_19_06_50,,01_18_02_52,,,,,,,,,,,,,,,,,01_01_00_51,01_24_00_51,01_25_02_51,
11001172,触媒店員次女,01_00_69_00,,01_09_26_13,01_02_03_01,01_03_02_70,01_06_01_50,01_07_11_00,,,,,,,,,01_19_05_51,,01_18_01_50,,,,,,,,,,,,,,,,,01_01_00_03,01_24_00_03,01_25_06_03,
11001173,触媒店員３女,01_00_69_00,,01_09_03_00,01_02_41_00,01_03_16_09,,,,,,,,,,01_18_12_02,,,01_18_02_00,,,,,,,,,,01_19_12_00,,,,,,,01_01_00_00,01_24_00_00,01_25_02_00,
#エキスパンド習得イベント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001186,ファーマーギルド出張人,01_00_41_50,,01_09_26_00,01_02_00_00,01_03_00_10,,,,,,01_04_38_10,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_03,01_24_00_03,01_25_06_03,
#,ダークストーカー,02_00_84_00,02_23_10_00,,02_02_62_00,02_03_01_11,02_05_16_00,,,,,02_07_10_51,,,,,,,02_18_03_01,,,,,,,,,,,,,,,,,,,,
#,ガンナー,01_00_86_00,01_23_10_00,,01_02_40_00,01_03_10_51,01_05_51_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,マシンナリー,01_00_88_00,,01_09_57_00,01_02_41_00,01_03_10_08,01_05_52_00,,,,,,,,,,,,,,,,,,,,,,,01_18_16_00,,,,,,,,,
11000181,ブーストマリオネスト,01_00_94_00,,01_09_59_00,01_02_02_00,01_03_23_70,01_04_40_70,01_05_53_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_02_00,
#ダンプティーアイランド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001189,試作機関車ＮＰＣ,5116_15_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001190,ナニカの資材？,4043_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ゴージャスな商人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001196,ゴージャスな商人,4044_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001198,傭兵,1054_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001199,白狼,1013_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001200,ロック鳥,1014_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001201,ガトリング砲,1055_00_00_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001202,わんわん,1057_00_00_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001203,ブラックタン,1057_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001204,マンドラダイコン,1058_00_00_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001218,リタのハレルヤ,2030_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001219,リタのハレルヤ（茜憑き）,2030_00_00_01,,,,,,,,,,,,,,,,,00_18_19_00,,,,,,,,,,,,,,,,,,,,
11001220,エミル（剣無し）,00_00_90_00,00_26_09_00,00_09_18_00,00_02_90_00,00_03_90_00,,,,,,,,,,00_08_90_00,,,00_18_10_01,,,,,,,,,,,,,,,,,,00_24_02_00,00_25_00_00,
11001257,タイタニア研究家,01_00_34_50,,01_09_08_52,01_02_40_00,01_03_10_72,01_05_23_50,,,,,,,,,01_08_19_09,,01_11_29_00,,,,,,,,,,,,01_18_07_54,,,,,,01_01_00_07,01_24_00_07,01_25_03_07,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001249,ダンプティー像（大）,5116_20_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001251,ダンプティー像（小）,5116_21_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001236,アニバーサリーモニュメント,5116_22_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001258,古風なメイドさん,01_00_100_00,,01_09_65_00,01_02_41_00,01_03_22_09,01_07_07_50,01_05_62_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_07,01_24_00_07,01_25_01_07,
11001259,マイマイの森小屋の番人,00_00_02_50,00_26_34_51,,00_02_42_00,00_03_08_10,00_06_17_50,,,,,,,,,,,,00_18_05_00,,,,,,,,,,,,,,,,,,00_24_00_00,00_25_00_00,
11001269,マイマイの狩人少年,00_00_02_50,00_26_34_51,,00_02_42_00,00_03_14_50,00_06_17_50,,,,,,,,,,,,00_18_05_00,,,,,,,,,,,,,,,,,,00_24_00_00,00_25_00_00,
11001274,マイマイの少女1,01_00_108_00,,01_09_38_07,01_02_42_00,01_03_08_50,01_06_05_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_01_00,
11001275,マイマイの少女2,03_00_108_50,,,03_02_51_00,03_03_20_60,03_05_16_00,03_04_37_60,03_06_05_07,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_00,03_24_00_00,03_25_00_00,
11001276,調査員男,00_00_47_00,,00_23_02_00,00_02_42_00,00_03_05_50,00_06_11_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001277,ガンナー男,00_00_86_00,00_26_31_00,00_09_57_00,00_02_42_00,00_03_50_08,00_05_56_00,,,,,00_07_23_00,,,,,,,,,,,,,,,,,,00_18_18_12,,,,,,,,,
11001282,森の住人男,00_00_48_52,00_26_07_57,00_09_17_50,00_02_40_00,00_03_06_72,,,,,,00_07_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_04_00,
11001283,森の住人女,01_00_45_54,,01_09_20_50,01_02_40_00,01_03_17_01,,,,,,01_07_00_50,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_05_00,
11001284,森の住人女,05_00_45_54,,05_09_20_50,05_02_40_00,05_03_02_71,,,,,,05_07_00_50,,,,,,,05_18_04_00,,,05_21_00_00,,,,,,,,,,,,,,05_01_00_00,05_24_00_00,05_25_05_00,
11001291,ウォーロックのお兄さん,04_00_40_00,,04_09_04_51,04_02_03_00,04_03_10_70,04_05_25_00,,,,,,,,,,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,,04_25_00_00,
11001295,コマンド♀,05_00_85_00,,,05_02_62_00,05_03_05_06,05_04_14_06,05_06_19_00,,,,,,,,,,,05_18_04_00,,,,,,,,,,,,,,,,,,,,
11001339,ミラーＮＰＣテスト,MIRROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001443,マシンナリー♂,00_00_88_00,,,00_02_42_00,00_03_10_09,00_05_55_00,,,,,,,,,,,,,,,,,,,,,,,00_18_17_00,,,,,,,,,
11001344,マーシャ,03_00_106_80,,03_09_67_00,03_02_92_00,03_03_92_00,,,,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_00,03_24_00_00,03_25_01_00,
11001347,ティタ,01_00_107_00,,01_09_68_00,01_02_90_00,01_03_90_00,01_04_19_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_01_00,
11001448,歌姫ララ,03_00_96_00,,03_09_61_00,03_02_51_00,03_03_15_62,03_05_16_00,03_06_57_00,,,,,,,,,,,02_18_03_00,,,,03_04_34_62,,,,,,,,,,,,,03_01_00_00,03_24_00_00,03_25_03_00,
11001449,ミンストレル,02_00_96_00,02_26_36_00,02_09_61_00,02_02_50_00,02_03_03_60,,02_05_58_00,,,,,,,,,,,,,,,,,,,,,02_15_23_00,,,,,,,,02_24_00_00,02_25_03_00,
11000869,天才発明家ポップ,00_00_67_50,00_26_24_50,00_09_29_50,00_02_40_00,00_03_10_18,00_05_43_50,00_07_18_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_24_00_06,00_25_02_06,
11001296,タタラベマスター代理,00_00_66_00,00_26_23_00,00_09_28_00,00_02_41_00,00_03_08_70,00_06_44_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_02_00,
11001297,ファーマーマスター代理,01_00_62_00,01_26_13_00,01_09_32_00,01_02_40_00,01_03_10_06,01_05_07_50,01_07_07_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_24_00_00,01_25_01_00,
11001298,レンジャーマスター代理,00_00_56_00,00_26_17_00,00_09_23_00,00_02_42_00,00_03_10_51,00_05_40_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_24_00_00,00_25_01_00,
11001299,マーチャントマスター代理,01_00_69_00,,01_09_36_00,01_02_42_00,01_03_09_09,01_06_46_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_03_00,
11001364,森を守るシャーマン,01_00_45_54,,01_09_20_01,01_02_60_00,01_03_05_08,01_04_19_08,01_07_04_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_05_00,
11001365,森を守るシャーマン,01_00_45_54,,01_09_20_01,01_02_60_00,01_03_05_08,01_04_19_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_05_00,
11001367,ブリーダーギルド受付,05_00_1024_00,05_09_73_00,,05_02_42_00,05_03_05_10,,,,,,,,null,null,05_08_44_00,,,05_18_04_00,,,05_21_00_00,05_04_07_10,,,,,,,,,,,,,05_01_00_00,05_24_00_00,05_25_01_00,
11001368,フラム,01_00_1024_00,01_09_73_00,,01_02_61_00,01_03_26_52,,,,,,,,null,null,01_08_44_00,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_01_00,
11001369,イオン,04_00_37_00,04_26_05_53,04_09_02_00,04_02_60_00,04_03_02_07,,,,,,,,,,,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,,,
11001370,アーク,02_00_89_00,02_26_28_00,02_09_58_00,02_02_50_00,02_03_03_10,02_05_16_00,,,,,02_07_12_00,,,,,,,02_18_03_00,,,,,,,,,,,,,,,,,,,,
11001371,ブリーダーギルドマスター,00_00_1024_00,00_23_14_00,,00_02_41_00,00_03_05_52,,00_06_61_07,,,,00_07_10_00,,,,00_08_44_00,,,,,,,,,,,,,,,,,,,,null,null,null,
11001378,ダークドラゴ,1076_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001386,イオンVerブリーダー,04_00_1024_00,04_23_14_00,,04_02_60_00,04_03_02_07,,,,,,,,,,04_08_44_00,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,null,null,null,
11001387,アークVerブリーダー,02_00_1024_00,02_23_14_00,,02_02_50_00,02_03_03_10,02_05_16_00,,,,,02_07_18_00,,,,02_08_44_00,,,02_18_03_00,,,,,,,,,,,,,,,,,null,null,null,
11001389,白狼,1013_00_00_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001390,金狼,1013_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001391,ブリーダーギルドメンバー,00_00_1024_00,00_23_14_00,,00_02_51_00,00_03_14_10,,,,,,,,,,00_08_44_00,,,,,,,,,,,,,,,,,,,,null,null,null,
11001450,匿名希望の木こり,00_00_50_50,00_26_14_50,00_09_22_50,00_02_70_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_01_00,
11001451,怪しいギャンブラー,04_00_89_50,04_26_28_50,04_09_58_50,04_02_62_00,04_03_14_61,04_07_21_00,,,,,,,,,,04_19_06_50,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,,,
11001452,夏男,00_00_00_00,00_26_25_50,,00_02_62_00,00_03_06_08,,,,,,00_07_09_00,,,,,00_16_14_00,,,,,,,,,,,,,,,,,,,null,00_24_00_00,00_25_00_00,
11001453,夏女,03_00_1020_00,,03_09_28_00,03_02_51_00,03_03_00_60,05_16_00,03_06_05_14,,,,,,,,,,,03_18_03_00,,,,03_04_07_60,,,,,,,,,,,,,null,03_24_00_00,03_25_00_00,
11001454,桃（人間）,01_00_1033_00,01_23_13_00,null,01_02_42_00,01_03_17_20,01_06_12_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11001455,菫（人間）,01_00_1033_04,01_23_09_00,null,01_02_42_00,01_03_29_18,01_06_12_02,01_06_78_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11001456,茜（人間）,01_00_1033_05,null,01_09_54_00,01_02_62_00,01_03_23_01,01_06_63_00,01_04_36_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_09,01_24_00_09,01_25_00_09,
11001457,山吹（人間）,01_00_1033_03,null,01_09_13_00,01_02_61_00,01_03_15_61,01_06_12_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_09,01_24_00_09,01_25_00_09,
11001458,緑（人間）,01_00_1033_01,null,01_09_28_00,01_02_02_22,01_03_26_52,01_06_12_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_02_00,
11001459,藍（人間）,01_00_1033_02,null,01_09_28_50,01_02_40_00,01_03_09_03,01_06_12_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_02_00,
11001460,お姫さま,01_00_21_00,null,01_09_08_51,01_02_40_00,01_03_16_08,01_06_12_55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_00,01_25_03_00,
11001462,魔王,01_00_1014_00,null,null,01_02_41_00,01_03_00_04,01_06_12_14,01_04_25_04,,,,,,,,,01_15_26_00,,,,,,,,,,,,,,,,,,,null,null,null,
11001465,ビバッチ,00_00_1035_00,,,00_02_45_00,00_03_26_90,00_04_47_90,00_06_79_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11001466,ピクル,4057_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11001470,マーメイド,2039_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11001472,マーメイド（ピンク）,2039_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11001489,マーメイド（緑）,2039_00_00_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11001490,亀仙人,00_00_29_00,00_26_07_00,00_09_17_01,00_02_03_00,00_03_07_50,,,,,,00_07_18_51,null,null,null,,,,00_18_24_01,null,,,,,,,null,,,,,,,,,null,null,00_25_04_00,
11001491,ストーンタートル,1412_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11001492,ミックミク（正解）,03_00_1028_01,03_26_08_09,03_09_26_09,03_02_01_04,03_03_23_21,03_05_16_00,03_06_65_09,,,,03_07_40_00,null,null,null,03_08_48_55,03_19_00_50,03_11_29_03,03_18_03_00,,,,03_04_40_21,,,,null,,null,03_18_18_00,,,,,,03_01_00_05,03_24_00_05,03_25_00_05,
11001493,ミックミク（ジャケット違い）,03_00_1028_00,03_26_08_09,03_09_26_09,03_02_01_04,03_03_23_21,03_05_16_00,03_06_65_09,,,,03_07_40_00,null,null,null,03_08_48_55,03_19_00_50,03_11_29_03,03_18_03_00,,,,03_04_40_21,,,,null,,null,03_18_18_00,,,,,,03_01_00_05,03_24_00_05,03_25_00_05,
11001494,ミックミク（チョーカー）,03_00_1028_01,03_26_08_09,03_09_26_09,03_02_01_04,03_03_23_21,03_05_16_00,03_06_65_09,,,,03_07_40_00,null,null,null,03_08_48_59,03_19_00_50,03_11_29_03,03_18_03_00,,,,03_04_40_21,,,,null,,null,03_18_18_00,,,,,,03_01_00_05,03_24_00_05,03_25_00_05,
11001495,ミックミク（ネコ違い）,03_00_1028_01,03_26_08_09,03_09_26_09,03_02_01_04,03_03_23_21,03_05_16_00,03_06_65_01,,,,03_07_40_00,null,null,null,03_08_48_59,03_19_00_50,03_11_29_03,03_18_03_00,,,,03_04_40_21,,,,null,,null,03_18_18_00,,,,,,03_01_00_05,03_24_00_05,03_25_00_05,
11001496,ミックミク（みみあて）,03_00_1028_01,03_26_08_09,03_09_26_09,03_02_01_04,03_03_23_21,03_05_16_00,03_06_62_09,,,,03_07_40_00,null,null,null,03_08_48_59,03_19_00_50,03_11_29_03,03_18_03_00,,,,03_04_40_21,,,,null,,null,03_18_18_00,,,,,,03_01_00_05,03_24_00_05,03_25_00_05,
11001497,ミックミク（タイツ）,03_00_1028_01,03_26_08_09,03_09_26_09,03_02_01_04,03_03_23_21,03_05_16_00,03_06_65_09,,,,03_07_40_00,null,null,null,03_08_48_55,03_19_00_50,03_11_29_03,03_18_03_00,,,,03_04_40_21,,,,null,,null,03_18_18_00,,,,,,03_01_00_52,03_24_00_52,03_25_00_52,
11001498,ミックミク2（正解）髪型,03_00_1028_01,03_26_08_09,03_09_26_09,03_02_01_04,03_03_19_21,03_05_16_00,03_06_62_09,,,,03_07_40_00,null,null,null,03_08_48_55,03_19_00_50,03_11_35_05,03_18_03_00,,,,03_04_40_21,,,,null,,null,03_18_18_00,,,,,,03_01_00_05,03_24_00_05,03_25_00_05,
