#パートナー用アクトキューブの詳細設定シート,,,,,,,,,,,,,,,,,,,,,,,,,
#基本情報,,,,使用可能条件,,,,,,,,,,,,,,説明文,スキルのアクトキューブ,削除条件,条件?行動?Pスキルのアクトキューブ,,,,条件アクトキューブ
#ユニークID,アイテムID,種別ＩＤ,アクトキューブ名,パートナーランク,系統番号,動物型,人型,虫型,植物型,魔法使い型,魔法生物型,鳥型,魚型,アンデッド型,機械型,信頼度の色,転生状態,アクトキューブ情報ウィンドウの説明文,スキルＩＤ,制限,処理ID,PARAM1,PARAM2,PARAM3,任意設定フラグ
#パートナーのHPが○％以下だったら,,,,,,,,,,,,,,,,,,,,,,,,,
437,68000822,0,自分のＭＰ≦２０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R２０％以下になるまで$R自分に向けて行動を起こす,0,0,9,20,2,0,0
438,68000823,0,自分のＭＰ≦３０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R３０％以下になるまで$R自分に向けて行動を起こす,0,0,9,30,2,0,0
439,68000824,0,自分のＭＰ≦４０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R４０％以下になるまで$R自分に向けて行動を起こす,0,0,9,40,2,0,0
440,68000825,0,自分のＭＰ≦５０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R５０％以下になるまで$R自分に向けて行動を起こす,0,0,9,50,2,0,0
441,68000826,0,自分のＭＰ≦６０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R６０％以下になるまで$R自分に向けて行動を起こす,0,0,9,60,2,0,0
442,68000827,0,自分のＭＰ≦７０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R７０％以下になるまで$R自分に向けて行動を起こす,0,0,9,70,2,0,0
443,68000828,0,自分のＭＰ≦８０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R８０％以下になるまで$R自分に向けて行動を起こす,0,0,9,80,2,0,0
444,68000829,0,自分のＭＰ≦９０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R９０％以下になるまで$R自分に向けて行動を起こす,0,0,9,90,2,0,0
445,68000830,0,自分のＭＰ≦１００％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R１００％以下になるまで$R自分に向けて行動を起こす,0,0,9,100,2,0,0
446,68000840,0,自分のＭＰ≦０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,0,4,0,0
447,68000841,0,自分のＭＰ≦１０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R１０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,10,4,0,0
448,68000842,0,自分のＭＰ≦２０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R２０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,20,4,0,0
449,68000843,0,自分のＭＰ≦３０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R３０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,30,4,0,0
450,68000844,0,自分のＭＰ≦４０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R４０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,40,4,0,0
451,68000845,0,自分のＭＰ≦５０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R５０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,50,4,0,0
452,68000846,0,自分のＭＰ≦６０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R６０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,60,4,0,0
453,68000847,0,自分のＭＰ≦７０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R７０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,70,4,0,0
454,68000848,0,自分のＭＰ≦８０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R８０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,80,4,0,0
455,68000849,0,自分のＭＰ≦９０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R９０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,90,4,0,0
456,68000850,0,自分のＭＰ≦１００％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R１００％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,9,100,4,0,0
457,68000860,0,自分のＭＰ≦０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R０％以下になるまで$R敵に向けて行動を起こす,0,0,9,0,3,0,0
458,68000861,0,自分のＭＰ≦１０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R１０％以下になるまで$R敵に向けて行動を起こす,0,0,9,10,3,0,0
459,68000862,0,自分のＭＰ≦２０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R２０％以下になるまで$R敵に向けて行動を起こす,0,0,9,20,3,0,0
460,68000863,0,自分のＭＰ≦３０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R３０％以下になるまで$R敵に向けて行動を起こす,0,0,9,30,3,0,0
461,68000864,0,自分のＭＰ≦４０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R４０％以下になるまで$R敵に向けて行動を起こす,0,0,9,40,3,0,0
462,68000865,0,自分のＭＰ≦５０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R５０％以下になるまで$R敵に向けて行動を起こす,0,0,9,50,3,0,0
463,68000866,0,自分のＭＰ≦６０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R６０％以下になるまで$R敵に向けて行動を起こす,0,0,9,60,3,0,0
464,68000867,0,自分のＭＰ≦７０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R７０％以下になるまで$R敵に向けて行動を起こす,0,0,9,70,3,0,0
465,68000868,0,自分のＭＰ≦８０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R８０％以下になるまで$R敵に向けて行動を起こす,0,0,9,80,3,0,0
466,68000869,0,自分のＭＰ≦９０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R９０％以下になるまで$R敵に向けて行動を起こす,0,0,9,90,3,0,0
467,68000870,0,自分のＭＰ≦１００％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R１００％以下になるまで$R敵に向けて行動を起こす,0,0,9,100,3,0,0
#主人のHPが○％以下になるまで,,,,,,,,,,,,,,,,,,,,,,,,,
468,68000880,0,主人のＨＰ≦０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$RカスタムＡＩを設定していても$R行動を起こしません。,0,0,10,0,1,0,0
469,68000881,0,主人のＨＰ≦１０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R１０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,10,1,0,0
470,68000882,0,主人のＨＰ≦２０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R２０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,20,1,0,0
471,68000883,0,主人のＨＰ≦３０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R３０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,30,1,0,0
472,68000884,0,主人のＨＰ≦４０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R４０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,40,1,0,0
473,68000885,0,主人のＨＰ≦５０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R５０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,50,1,0,0
474,68000886,0,主人のＨＰ≦６０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R６０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,60,1,0,0
475,68000887,0,主人のＨＰ≦７０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R７０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,70,1,0,0
476,68000888,0,主人のＨＰ≦８０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R８０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,80,1,0,0
477,68000889,0,主人のＨＰ≦９０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R９０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,90,1,0,0
478,68000890,0,主人のＨＰ≦１００％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R１００％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＨＰ＞$Rに挙動が変更されます。,0,0,10,100,1,0,0
479,68000900,0,主人のＨＰ≦０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R０％以下になるまで$R自分に向けて行動を起こす,0,0,10,0,2,0,0
480,68000901,0,主人のＨＰ≦１０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R１０％以下になるまで$R自分に向けて行動を起こす,0,0,10,10,2,0,0
481,68000902,0,主人のＨＰ≦２０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R２０％以下になるまで$R自分に向けて行動を起こす,0,0,10,20,2,0,0
482,68000903,0,主人のＨＰ≦３０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R３０％以下になるまで$R自分に向けて行動を起こす,0,0,10,30,2,0,0
483,68000904,0,主人のＨＰ≦４０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R４０％以下になるまで$R自分に向けて行動を起こす,0,0,10,40,2,0,0
484,68000905,0,主人のＨＰ≦５０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R５０％以下になるまで$R自分に向けて行動を起こす,0,0,10,50,2,0,0
485,68000906,0,主人のＨＰ≦６０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R６０％以下になるまで$R自分に向けて行動を起こす,0,0,10,60,2,0,0
486,68000907,0,主人のＨＰ≦７０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R７０％以下になるまで$R自分に向けて行動を起こす,0,0,10,70,2,0,0
487,68000908,0,主人のＨＰ≦８０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R８０％以下になるまで$R自分に向けて行動を起こす,0,0,10,80,2,0,0
488,68000909,0,主人のＨＰ≦９０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R９０％以下になるまで$R自分に向けて行動を起こす,0,0,10,90,2,0,0
489,68000910,0,主人のＨＰ≦１００％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R１００％以下になるまで$R自分に向けて行動を起こす,0,0,10,100,2,0,0
490,68000920,0,主人のＨＰ≦０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$RカスタムＡＩを設定していても$R行動を起こしません。,0,0,10,0,4,0,0
491,68000921,0,主人のＨＰ≦１０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R１０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,10,4,0,0
492,68000922,0,主人のＨＰ≦２０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R２０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,20,4,0,0
493,68000923,0,主人のＨＰ≦３０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R３０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,30,4,0,0
494,68000924,0,主人のＨＰ≦４０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R４０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,40,4,0,0
495,68000925,0,主人のＨＰ≦５０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R５０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,50,4,0,0
496,68000926,0,主人のＨＰ≦６０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R６０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,60,4,0,0
497,68000927,0,主人のＨＰ≦７０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R７０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,70,4,0,0
498,68000928,0,主人のＨＰ≦８０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R８０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,80,4,0,0
499,68000929,0,主人のＨＰ≦９０％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R９０％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,90,4,0,0
500,68000930,0,主人のＨＰ≦１００％まで＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R１００％以下になるまで$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更され、条件の対象は$R＜自分のＨＰ＞に挙動が$R変更されます。,0,0,10,100,4,0,0
501,68000940,0,主人のＨＰ≦０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R０％以下になるまで$R敵に向けて行動を起こす,0,0,10,0,3,0,0
502,68000941,0,主人のＨＰ≦１０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R１０％以下になるまで$R敵に向けて行動を起こす,0,0,10,10,3,0,0
503,68000942,0,主人のＨＰ≦２０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R２０％以下になるまで$R敵に向けて行動を起こす,0,0,10,20,3,0,0
504,68000943,0,主人のＨＰ≦３０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R３０％以下になるまで$R敵に向けて行動を起こす,0,0,10,30,3,0,0
505,68000944,0,主人のＨＰ≦４０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R４０％以下になるまで$R敵に向けて行動を起こす,0,0,10,40,3,0,0
506,68000945,0,主人のＨＰ≦５０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R５０％以下になるまで$R敵に向けて行動を起こす,0,0,10,50,3,0,0
507,68000946,0,主人のＨＰ≦６０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R６０％以下になるまで$R敵に向けて行動を起こす,0,0,10,60,3,0,0
508,68000947,0,主人のＨＰ≦７０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R７０％以下になるまで$R敵に向けて行動を起こす,0,0,10,70,3,0,0
509,68000948,0,主人のＨＰ≦８０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R８０％以下になるまで$R敵に向けて行動を起こす,0,0,10,80,3,0,0
510,68000949,0,主人のＨＰ≦９０％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R９０％以下になるまで$R敵に向けて行動を起こす,0,0,10,90,3,0,0
511,68000950,0,主人のＨＰ≦１００％まで＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＨＰが$R１００％以下になるまで$R敵に向けて行動を起こす,0,0,10,100,3,0,0
#主人のSPが○％以下になるまで,,,,,,,,,,,,,,,,,,,,,,,,,
512,68000960,0,主人のＳＰ≦０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,0,1,0,0
513,68000961,0,主人のＳＰ≦１０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R１０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,10,1,0,0
514,68000962,0,主人のＳＰ≦２０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R２０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,20,1,0,0
515,68000963,0,主人のＳＰ≦３０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R３０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,30,1,0,0
516,68000964,0,主人のＳＰ≦４０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R４０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,40,1,0,0
517,68000965,0,主人のＳＰ≦５０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R５０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,50,1,0,0
518,68000966,0,主人のＳＰ≦６０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R６０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,60,1,0,0
519,68000967,0,主人のＳＰ≦７０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R７０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,70,1,0,0
520,68000968,0,主人のＳＰ≦８０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R８０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,80,1,0,0
521,68000969,0,主人のＳＰ≦９０％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R９０％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,90,1,0,0
522,68000970,0,主人のＳＰ≦１００％まで＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R１００％以下になるまで$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が変更され、$R条件の対象は＜自分のＳＰ＞に$R挙動が変更されます。,0,0,11,100,1,0,0
523,68000980,0,主人のＳＰ≦０％まで＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R主人のＳＰが$R０％以下になるまで$R自分に向けて行動を起こす,0,0,11,0,2,0,0
