#目前就是这个样子了 图章掉落禁止有数字以外的字符出现! 例如actcube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##,,,,体格,,,特殊情報,,,設定,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,ダメージ減少,,命中,,,回避,,,クリティカル,,,,攻撃速度,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常）,,,,,,,,,,思考(出現),,思考ID(瀕死),,,,,,,,,,思考(終焉）,,カスタムAIID,,,,,,スキルリスト,,,,,,,,,,,,,,,経験値,,,,ドロップ,ドロップアイテム,,,,,,,,,旅人のメモ,,パーティ
#ID,名前,PICTID,種別ＩＤ,幅,長さ,スケール,飛行,アンデッド,モーションセット番号,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,SP,MP,速度,最小,最大,タイプ,最小,最大,物理－,物理％,魔法－,魔法％,物理ダメージ(％),魔法ダメージ(％),近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,氷結,気絶,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,AIID1,確率1,AIID2,確率2,AIID3,確率3,攻撃スキル加算倍率,ＩＤ１,確率,ＩＤ２,確率,ＩＤ３,確率,ＩＤ４,確率,減少HP%分加算スキル,確率,減少HP%分減算スキル,確率,出現時使用スキルID,死亡時使用スキルID,EXP,JOB,WRP,信頼度,ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,ID8（スタンプ）,ＩＤ8確率,掲載フラグ,解放ID,イベントフラグ
#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
10260321,杏用プリティフリルハート,10260321,MAGIC_CREATURE,0.95,0.95,0.95,0,0,0,1,109,47,96,57,59,65,31,40,1000,201,201,134,384,380,BLOW,117,296,409,41,245,21,204,453,400,331,253,233,401,221,156,123,485,265,147,425,151,0,0,0,0,0,0,0,57,76,26,52,95,24,35,88,102,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260322,空用プリティフリルハート,10260322,MAGIC_CREATURE,1,1,1,0,0,0,1,26,70,76,103,69,70,72,48,1000,201,201,243,244,288,BLOW,336,101,143,16,447,85,127,252,320,195,426,292,310,206,348,420,375,470,387,421,329,0,0,0,0,0,0,0,20,47,23,108,86,81,48,83,26,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260323,胡桃用プリティフリルハート,10260323,MAGIC_CREATURE,1,1,1,0,0,85,1,55,42,80,20,102,83,10,55,1000,201,201,112,216,196,BLOW,466,118,425,70,159,76,251,413,124,169,155,466,301,435,109,352,155,285,335,112,248,0,0,0,0,0,0,0,10,46,88,27,102,70,70,18,79,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260324,若菜用プリティフリルハート,10260324,MAGIC_CREATURE,1,1,1,0,0,85,1,17,88,68,56,107,24,30,10,1000,201,201,195,272,384,BLOW,206,443,355,87,383,37,184,150,109,263,242,313,140,265,156,245,210,155,260,142,168,0,0,0,0,0,0,0,56,63,65,84,50,74,109,79,35,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260325,白用プリティフリルハート,10260325,MAGIC_CREATURE,1,1,1,0,0,0,1,35,61,69,12,23,78,98,54,1000,201,201,332,165,125,BLOW,153,459,450,95,195,17,428,436,370,352,192,407,151,235,306,256,113,199,282,390,321,0,0,0,0,0,0,0,82,78,75,13,56,99,74,105,88,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260326,黒用プリティフリルハート,10260326,MAGIC_CREATURE,1,1,1,0,0,0,1,95,23,95,62,56,14,71,75,1000,201,201,246,244,444,BLOW,110,292,329,85,248,86,201,318,402,197,105,104,244,222,271,410,252,445,358,103,113,0,0,0,0,0,0,0,93,50,18,94,41,19,60,11,18,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260327,桃用エクソシストハート,10260327,MAGIC_CREATURE,1,1,1,0,0,0,1,100,76,11,41,56,103,92,58,1000,201,201,220,399,162,BLOW,490,406,320,15,194,94,118,187,389,434,430,451,290,452,246,252,296,231,415,165,421,0,0,0,0,0,0,0,107,55,40,38,69,97,29,105,64,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260328,藍用エクソシストハート,10260328,MAGIC_CREATURE,1,1,1,0,0,0,1,97,28,102,88,59,23,62,17,1000,201,201,499,425,377,BLOW,214,453,105,19,139,102,111,278,268,422,379,432,442,469,382,242,453,127,476,468,446,0,0,0,0,0,0,0,75,45,91,101,96,67,37,60,15,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260329,緑用エクソシストハート,10260329,MAGIC_CREATURE,0.95,0.95,0.95,0,0,0,1,54,77,16,41,67,15,58,43,1000,201,201,466,381,437,BLOW,302,409,235,41,266,41,344,399,222,230,211,114,145,150,146,491,123,351,205,383,467,0,0,0,0,0,0,0,100,15,50,103,45,49,109,87,58,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260330,山吹用エクソシストハート,10260330,MAGIC_CREATURE,1,1,1,0,0,0,1,45,19,41,38,93,56,56,50,1000,201,201,214,369,258,BLOW,124,151,292,42,229,19,222,420,137,326,493,388,204,433,362,241,184,391,435,392,369,0,0,0,0,0,0,0,14,59,108,30,101,51,106,57,26,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260331,菫用エクソシストハート,10260331,MAGIC_CREATURE,1,1,1,0,0,0,1,101,12,59,74,51,86,94,56,1000,201,201,140,409,177,BLOW,450,378,238,64,315,102,485,136,137,414,138,382,262,106,402,408,229,218,384,168,170,0,0,0,0,0,0,0,109,60,30,41,106,29,10,43,51,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260332,茜用エクソシストハート,10260332,MAGIC_CREATURE,1,1,1,0,0,0,1,52,56,37,108,20,51,48,64,1000,201,201,145,247,399,BLOW,317,304,397,83,356,24,481,222,265,250,343,194,179,397,202,310,205,253,394,385,329,0,0,0,0,0,0,0,106,101,59,109,66,36,70,42,52,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260333,杏用エクソシストハート,10260333,MAGIC_CREATURE,0.95,0.95,0.95,0,0,0,1,44,88,70,14,108,27,47,95,1000,201,201,125,366,484,BLOW,407,381,303,53,167,99,148,442,452,427,411,314,289,116,197,154,466,232,485,319,408,0,0,0,0,0,0,0,32,53,43,28,73,91,44,26,81,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260334,空用エクソシストハート,10260334,MAGIC_CREATURE,1,1,1,0,0,0,1,25,98,78,95,28,56,68,96,1000,201,201,267,440,467,BLOW,474,266,431,96,486,31,465,425,451,429,263,210,267,307,490,132,108,314,333,465,390,0,0,0,0,0,0,0,23,39,30,77,38,76,26,20,71,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260335,胡桃用エクソシストハート,10260335,MAGIC_CREATURE,1,1,1,0,0,85,1,97,106,87,105,69,97,41,37,1000,201,201,118,430,283,BLOW,405,273,164,80,461,60,130,201,479,221,320,341,449,244,459,450,344,290,164,480,431,0,0,0,0,0,0,0,48,60,52,40,85,60,66,12,26,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260336,若菜用エクソシストハート,10260336,MAGIC_CREATURE,1,1,1,0,0,85,1,104,77,83,24,23,48,40,45,1000,201,201,199,416,126,BLOW,263,416,106,29,392,16,231,180,392,288,112,237,493,333,460,384,370,441,433,382,287,0,0,0,0,0,0,0,38,17,21,12,12,27,88,34,49,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260337,白用エクソシストハート,10260337,MAGIC_CREATURE,1,1,1,0,0,0,1,61,90,75,46,42,85,18,17,1000,201,201,291,284,173,BLOW,417,226,103,50,201,62,344,147,441,374,103,260,245,387,276,188,263,215,256,275,271,0,0,0,0,0,0,0,66,83,98,17,15,72,61,66,21,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260338,黒用エクソシストハート,10260338,MAGIC_CREATURE,1,1,1,0,0,0,1,47,77,43,101,79,42,17,109,1000,201,201,138,213,495,BLOW,144,357,274,98,222,17,371,480,292,282,389,387,226,400,212,196,460,412,392,287,465,0,0,0,0,0,0,0,96,95,92,104,92,15,42,28,106,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260339,桃用スチームパンクハート,10260339,MAGIC_CREATURE,1,1,1,0,0,0,1,22,100,20,30,24,96,33,90,1000,201,201,215,132,443,BLOW,263,184,276,64,440,31,499,489,268,308,177,283,471,259,224,342,491,131,470,110,270,0,0,0,0,0,0,0,81,51,90,27,55,45,70,40,27,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260340,藍用スチームパンクハート,10260340,MAGIC_CREATURE,1,1,1,0,0,0,1,51,78,104,59,69,20,35,77,1000,201,201,142,360,229,BLOW,413,195,135,34,111,47,420,498,325,480,117,213,144,291,125,113,207,131,112,353,191,0,0,0,0,0,0,0,67,25,37,86,24,33,54,32,41,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260341,緑用スチームパンクハート,10260341,MAGIC_CREATURE,0.95,0.95,0.95,0,0,0,1,66,23,12,45,37,65,108,39,1000,201,201,332,365,487,BLOW,233,305,404,87,474,35,428,166,348,198,292,489,161,157,286,357,166,408,308,430,312,0,0,0,0,0,0,0,103,18,71,96,94,75,39,105,82,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260342,山吹用スチームパンクハート,10260342,MAGIC_CREATURE,1,1,1,0,0,0,1,31,63,38,104,108,61,25,19,1000,201,201,225,275,426,BLOW,416,385,105,45,187,104,164,459,364,480,134,268,440,346,326,116,172,282,173,146,188,0,0,0,0,0,0,0,15,14,60,68,86,46,98,55,96,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260343,菫用スチームパンクハート,10260343,MAGIC_CREATURE,1,1,1,0,0,0,1,69,61,17,49,38,20,14,32,1000,201,201,380,368,184,BLOW,307,329,109,49,454,77,217,280,318,209,230,196,203,440,411,448,236,200,344,370,438,0,0,0,0,0,0,0,67,28,105,47,72,25,57,77,55,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260344,茜用スチームパンクハート,10260344,MAGIC_CREATURE,1,1,1,0,0,0,1,20,28,35,71,83,52,76,46,1000,201,201,264,313,348,BLOW,245,401,230,35,137,39,131,309,234,424,327,252,204,305,483,378,285,268,330,119,378,0,0,0,0,0,0,0,17,77,58,108,62,65,61,86,23,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260345,杏用スチームパンクハート,10260345,MAGIC_CREATURE,0.95,0.95,0.95,0,0,0,1,37,101,46,58,33,103,21,79,1000,201,201,200,345,484,BLOW,421,461,128,32,140,89,443,115,483,342,203,380,281,195,440,369,475,324,445,198,276,0,0,0,0,0,0,0,103,24,94,92,11,99,27,15,87,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260346,空用スチームパンクハート,10260346,MAGIC_CREATURE,1,1,1,0,0,0,1,33,45,38,58,66,37,91,55,1000,201,201,139,397,469,BLOW,251,302,330,17,191,93,158,417,323,389,285,422,237,433,177,278,480,166,101,181,365,0,0,0,0,0,0,0,58,52,107,63,20,88,75,41,51,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260347,胡桃用スチームパンクハート,10260347,MAGIC_CREATURE,1,1,1,0,0,85,1,84,67,53,10,73,78,79,19,1000,201,201,128,123,221,BLOW,429,142,206,65,409,102,423,497,375,341,209,388,157,316,372,319,470,110,440,116,393,0,0,0,0,0,0,0,19,43,19,22,84,83,76,91,75,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260348,若菜用スチームパンクハート,10260348,MAGIC_CREATURE,1,1,1,0,0,85,1,19,82,11,71,94,27,88,101,1000,201,201,144,115,394,BLOW,467,483,467,22,343,100,314,403,279,294,376,394,173,406,235,248,106,321,497,333,466,0,0,0,0,0,0,0,51,84,20,47,71,64,95,47,74,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260349,白用スチームパンクハート,10260349,MAGIC_CREATURE,1,1,1,0,0,0,1,68,30,38,88,86,54,71,15,1000,201,201,291,147,314,BLOW,435,313,436,97,202,104,217,237,193,190,253,374,231,186,298,413,208,266,152,282,438,0,0,0,0,0,0,0,24,86,93,98,51,102,43,63,35,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260350,黒用スチームパンクハート,10260350,MAGIC_CREATURE,1,1,1,0,0,0,1,95,18,84,62,104,35,104,55,1000,201,201,211,406,320,BLOW,390,184,360,13,209,18,272,385,363,485,373,126,212,395,117,215,415,299,189,303,439,0,0,0,0,0,0,0,10,28,87,10,95,57,84,29,72,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260351,桃用フェイブルハート,10260351,MAGIC_CREATURE,1,1,1,0,0,0,1,84,49,77,79,43,23,108,106,1000,201,201,269,475,278,BLOW,273,446,307,56,434,11,225,385,463,484,180,242,307,202,128,394,212,271,121,351,148,0,0,0,0,0,0,0,35,68,96,75,20,46,107,92,26,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260352,藍用フェイブルハート,10260352,MAGIC_CREATURE,1,1,1,0,0,0,1,96,67,71,70,13,74,91,32,1000,201,201,158,398,358,BLOW,108,291,409,33,316,43,144,356,156,339,447,460,492,115,499,100,234,385,348,247,128,0,0,0,0,0,0,0,80,104,25,73,63,16,41,24,84,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260353,緑用フェイブルハート,10260353,MAGIC_CREATURE,0.95,0.95,0.95,0,0,0,1,13,44,87,82,88,54,74,59,1000,201,201,182,459,371,BLOW,375,239,478,105,222,94,166,388,164,173,205,436,359,357,492,280,205,273,149,499,366,0,0,0,0,0,0,0,14,63,55,57,105,78,52,78,20,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260354,山吹用フェイブルハート,10260354,MAGIC_CREATURE,1,1,1,0,0,0,1,24,51,92,16,23,12,13,95,1000,201,201,283,391,363,BLOW,174,207,193,105,219,11,452,400,291,378,295,373,445,434,296,312,207,345,289,478,217,0,0,0,0,0,0,0,39,24,83,102,97,74,45,38,88,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260355,菫用フェイブルハート,10260355,MAGIC_CREATURE,1,1,1,0,0,0,1,89,65,37,21,96,105,80,25,1000,201,201,230,424,431,BLOW,205,175,183,21,486,81,169,203,290,212,425,467,111,482,281,233,424,462,451,425,373,0,0,0,0,0,0,0,63,37,46,46,72,73,60,46,34,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260356,茜用フェイブルハート,10260356,MAGIC_CREATURE,1,1,1,0,0,0,1,25,92,27,108,49,34,16,95,1000,201,201,169,470,314,BLOW,233,100,406,103,105,12,143,389,205,339,122,190,345,408,167,429,308,161,289,121,162,0,0,0,0,0,0,0,87,100,97,109,39,23,79,77,73,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260357,杏用フェイブルハート,10260357,MAGIC_CREATURE,0.95,0.95,0.95,0,0,0,1,105,45,27,69,36,55,91,108,1000,201,201,303,267,127,BLOW,191,495,412,16,143,63,169,458,241,247,100,436,289,140,156,283,434,412,131,180,267,0,0,0,0,0,0,0,80,35,29,70,33,50,61,26,105,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260358,空用フェイブルハート,10260358,MAGIC_CREATURE,1,1,1,0,0,0,1,68,37,94,105,93,30,21,43,1000,201,201,213,473,277,BLOW,362,403,203,51,425,58,376,283,101,312,492,390,387,436,216,262,315,335,459,257,233,0,0,0,0,0,0,0,76,109,93,84,102,66,65,106,19,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260359,胡桃用フェイブルハート,10260359,MAGIC_CREATURE,1,1,1,0,0,85,1,11,15,25,95,44,39,74,95,1000,201,201,374,498,384,BLOW,307,496,195,92,412,98,181,261,175,330,364,258,325,352,211,464,151,137,144,361,323,0,0,0,0,0,0,0,79,29,81,85,61,42,14,12,27,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260360,若菜用フェイブルハート,10260360,MAGIC_CREATURE,1,1,1,0,0,85,1,86,16,65,62,30,55,29,96,1000,201,201,437,275,158,BLOW,161,370,494,87,257,106,100,350,123,320,287,407,404,224,252,495,246,345,413,190,304,0,0,0,0,0,0,0,29,16,29,32,71,74,74,57,29,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260361,白用フェイブルハート,10260361,MAGIC_CREATURE,1,1,1,0,0,0,1,81,47,31,102,56,88,85,96,1000,201,201,229,482,316,BLOW,358,339,333,44,253,109,484,402,182,367,277,464,173,414,174,487,184,114,354,497,248,0,0,0,0,0,0,0,34,65,26,48,101,22,24,46,54,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260362,黒用フェイブルハート,10260362,MAGIC_CREATURE,1,1,1,0,0,0,1,59,34,10,32,98,38,81,76,1000,201,201,405,271,378,BLOW,140,282,129,89,269,57,173,265,193,314,190,140,394,284,452,471,182,271,322,210,417,0,0,0,0,0,0,0,43,18,28,60,93,64,30,23,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260363,桃用ウィッチハート,10260363,MAGIC_CREATURE,1,1,1,0,0,0,1,24,21,76,13,97,77,17,47,1000,201,201,430,483,129,BLOW,104,292,463,76,158,77,270,137,262,346,254,430,458,329,197,299,169,406,431,360,106,0,0,0,0,0,0,0,57,106,43,59,21,16,51,86,41,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10260364,藍用ウィッチハート,10260364,MAGIC_CREATURE,1,1,1,0,0,0,1,95,87,86,43,76,99,53,80,1000,201,201,284,381,310,BLOW,234,251,305,92,212,98,446,343,320,211,267,126,374,412,237,133,399,214,160,200,154,0,0,0,0,0,0,0,66,72,31,76,86,103,94,26,41,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
