#髪型設定ファイル,,,,,,,,,
#アイテムの髪設定,,,,,ウィンドウ表示メッセージ,,,,
#アイテムID,性別,髪型ID,髪型オプションID,管理グループ,髪型名,オプション名,髪型変更前NPCセリフ,髪型変更後NPCセリフ,備考
10020780,2,41,-1,0,デビューへの髪型,なし,わぁ～お♪$R君は『デビューへの紹介状』を$R持っているのかい！？$R$R$Rああっ、ボクがデビューしたのは$R二十歳の頃だったよ♪$R$Rえ、なんのデビューかって？$Rあははっ！$R子どもには教えられないなぁ！$R$R$Rさあ、この話はオシマイだ！$R$R『デビューへの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,デビューへの紹介状
10020782,2,42,-1,0,シュークリームボブ,なし,わぁ～お♪$R君は『スイートな紹介状』を$R持っているのかい！？$R$R$Rうーん、チョコレートやキャンディ。$Rアイスクリームにケーキ……。$R$R$R甘いお菓子は美味しいけれど$Rちゃんと歯磨きをしないと$Rボクみたいに虫歯になっちゃうよ！？$R$R仕事が終わったら$R歯医者に行かなくっちゃ……。$R$R$R『スイートな紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,スイートな紹介状
10020782,2,43,51,1,ロールツインテール,なし,わぁ～お♪$R君は『スイートな紹介状』を$R持っているのかい！？$R$R$Rうーん、チョコレートやキャンディ。$Rアイスクリームにケーキ……。$R$R$R甘いお菓子は美味しいけれど$Rちゃんと歯磨きをしないと$Rボクみたいに虫歯になっちゃうよ！？$R$R仕事が終わったら$R歯医者に行かなくっちゃ……。$R$R$R『スイートな紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,スイートな紹介状
#29006400,1,46,52,0,タイ女性の髪型,なし,わぁ～お♪$R$R君は『タイ女性の紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R僕のとっておきのテクニックで$R君の髪にスペシャルで$Rフェミニンなセットをしてあげる！,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,#タイ女性の紹介状（タイ）
#29006401,0,46,-1,0,タイ男性の髪型,なし,わぁ～お♪$R$R君は『タイ男性の紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R僕のとっておきのテクニックで$R君の髪にスペシャルで$Rフェミニンなセットをしてあげる！,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,#タイ男性の紹介状（タイ）
10020783,2,45,-1,0,くりんくりんショート,なし,わぁ～お♪$R君は『おとぎの紹介状』を$R持っているのかい！？$R$R$R「ステキな髪型にしてね！$R　　　　　　　タイニー赤ずきんより」$R$Rだってさ！$Rおとぎの国の住人からの紹介状$R確かに受け取ったよ！$R$R$Rどうだい？$R『おとぎの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,おとぎの紹介状
10020783,2,44,-1,1,ゆる三つ編み,なし,わぁ～お♪$R君は『おとぎの紹介状』を$R持っているのかい！？$R$R$R「ステキな髪型にしてね！$R　　　　　　　タイニー赤ずきんより」$R$Rだってさ！$Rおとぎの国の住人からの紹介状$R確かに受け取ったよ！$R$R$Rどうだい？$R『おとぎの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,おとぎの紹介状
10020784,0,47,53,0,歌姫の髪型,なし,わぁ～お♪$R君は『歌姫の紹介状』を$R持っているのかい！？$R$R$R……フン♪フフ～ン♪$R音楽っていいよね～♪$R$R音楽はボクたちの荒んだ心を癒し$R心を豊かにしてくれる♪$R$R$R♪～……ッ！！$R$Rき、きたーッ！$Rこのボクの頭から足の爪先まで$Rビビビッってきたよ～！$R$R$R今ならキミに｢音｣を感じる$R素敵な髪型を送ることが出来そうだよ$R$R『歌姫の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,歌姫の紹介状
10020784,1,47,-1,0,歌姫の髪型,なし,わぁ～お♪$R君は『歌姫の紹介状』を$R持っているのかい！？$R$R$R……フン♪フフ～ン♪$R音楽っていいよね～♪$R$R音楽はボクたちの荒んだ心を癒し$R心を豊かにしてくれる♪$R$R$R♪～……ッ！！$R$Rき、きたーッ！$Rこのボクの頭から足の爪先まで$Rビビビッってきたよ～！$R$R$R今ならキミに｢音｣を感じる$R素敵な髪型を送ることが出来そうだよ$R$R『歌姫の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,歌姫の紹介状
10020785,2,48,-1,0,世話焼きショート,なし,わぁ～お♪$R君は『マネージャーの紹介状』を$R持っているのかい！？$R$R$R青春って良いよね～！$R若かった頃を思い出すよ！$R$R$R甘酸っぱい素敵な思い出を$R君の髪型に込めてあげる！$R$R$Rどうだい？$R『マネージャーの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,マネージャーの紹介状
10020785,2,49,54,1,なまいきポニー,なし,わぁ～お♪$R君は『マネージャーの紹介状』を$R持っているのかい！？$R$R$R青春って良いよね～！$R若かった頃を思い出すよ！$R$R$R甘酸っぱい素敵な思い出を$R君の髪型に込めてあげる！$R$R$Rどうだい？$R『マネージャーの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,マネージャーの紹介状
10020786,2,52,-1,0,沙都子とおそろい,なし,わぁ～お♪$R『ひぐらしの紹介状』を$R持っているのかい！？$R$R$R僕のテクニックで$R沙都子の髪型にしてあげるよ！$R$R$Rどうだい？$R『ひぐらしの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ひぐらしの紹介状
10020786,1,53,-1,1,梨花とおそろい,なし,わぁ～お♪$R『ひぐらしの紹介状』を$R持っているのかい！？$R$R$R僕のテクニックで$R梨花の髪型にしてあげるよ！$R$R$Rどうだい？$R『ひぐらしの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ひぐらしの紹介状
10020787,0,55,-1,0,空賊の髪型,なし,わぁ～お♪$R君は『空賊の紹介状』を$R持っているのかい！？$R$R$Rどうだい？$R『空賊の紹介状』を使って$R空賊の髪型にセットするかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,空賊の紹介状
10020787,1,55,55,0,空賊の髪型,なし,わぁ～お♪$R君は『空賊の紹介状』を$R持っているのかい！？$R$R$Rどうだい？$R『空賊の紹介状』を使って$R空賊の髪型にセットするかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,空賊の紹介状
10020788,0,25,-1,0,真夏の髪型,なし,わぁ～お♪$R君は『真夏の紹介状』を$R持っているのかい！？$R$R$R夏の思い出を$R僕と一緒に作ろうじゃないか！$R$R$Rどうだい？$R『真夏の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,真夏の紹介状
10020788,1,56,56,0,真夏の髪型,なし,わぁ～お♪$R君は『真夏の紹介状』を$R持っているのかい！？$R$R$R夏の思い出を$R僕と一緒に作ろうじゃないか！$R$R$Rどうだい？$R『真夏の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,真夏の紹介状
10020789,2,57,-1,0,イケてるボブ,なし,わぁ～お♪$R君は『委員長の紹介状』を$R持っているのかい！？$R$R$Rボクも、昔はよく$R委員長に怒られたモンだよ！$R$R$Rどうだい？$R『委員長の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,委員長の紹介状
10020789,2,58,-1,1,イケてるベリーショート,なし,わぁ～お♪$R君は『委員長の紹介状』を$R持っているのかい！？$R$R$Rボクも、昔はよく$R委員長に怒られたモンだよ！$R$R$Rどうだい？$R『委員長の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,委員長の紹介状
10020790,2,59,-1,0,儚げなくるくるショート,なし,わぁ～お♪$R君は『貴族の紹介状』を$R持っているのかい！？$R$R$Rいいね、いいね！$Rボクが本物のゴージャスというものを$Rキミに教えてあげるよ！$R$R$Rどうだい？$R『貴族の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,貴族の紹介状
10020790,2,60,57,1,麗しのミニ縦ロール,なし,わぁ～お♪$R君は『貴族の紹介状』を$R持っているのかい！？$R$R$Rいいね、いいね！$Rボクが本物のゴージャスというものを$Rキミに教えてあげるよ！$R$R$Rどうだい？$R『貴族の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,貴族の紹介状
10020791,2,54,-1,0,レナとおそろい,なし,はう～♪$R君は『レナの紹介状』を$R持っているのかな？かな？$R$R$Rどうだい？$R『レナの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,レナの紹介状
10020792,0,61,-1,0,ハロウィンの髪型,なし,わぁ～お♪$R君は『ハロウィン紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『ハロウィン紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ハロウィン紹介状
10020792,1,61,58,1,ハロウィンの髪型,リボン付きロングツインテール,わぁ～お♪$R君は『ハロウィン紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『ハロウィン紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rリボンの方は気に入らなかったら$Rいつでも取り外してあげるから$Rまたおいでよ。,ハロウィン紹介状
10020792,1,61,59,1,ハロウィンの髪型,リボン無しロングツインテール,わぁ～お♪$R君は『ハロウィン紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『ハロウィン紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rやっぱり、リボンが欲しいって言うなら$Rいつでも付けてあげるから$Rまたおいでよ。,ハロウィン紹介状
#29012000,1,65,61,0,噂のミサミ…の髪型,なし,おっと！$Rそいつは噂のミサミ…げふんげふん$R$Rなんでもないさ！$R$R$Rささ、セットさせておくれよ。,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,MMの紹介状（タイ）
#29012100,0,65,-1,0,懐かしい飛…の髪型,なし,おっと！$Rそいつは懐かしい飛…げふんげふん$R$Rなんでもないさ！$R$R$Rささ、セットさせておくれよ。,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,Hの紹介状（タイ）
#29012200,2,66,62,0,火侍の髪型,なし,わぁ～お♪$R君は『火侍の紹介状』を$R持っているのかい！？$R$R$Rささ、セットさせておくれよ。,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,火侍の紹介状（タイ）
#29012300,2,67,-1,0,風侍の髪型,なし,わぁ～お♪$R君は『風侍の紹介状』を$R持っているのかい！？$R$R$Rささ、セットさせておくれよ。,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,風侍の紹介状（タイ）
10020793,0,63,60,0,真冬の髪型,なし,わぁ～お♪$R君は『真冬の紹介状』を$R持っているのかい！？$R$R$R…感じるよ！$R君の心にある雪原に見える、$R儚い魂の輝きを！$R$R$Rどうだい？$R『真冬の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,真冬の紹介状
10020793,1,62,-1,0,真冬の髪型,なし,わぁ～お♪$R君は『真冬の紹介状』を$R持っているのかい！？$R$R$R…感じるよ！$R君の心にある雪原に見える、$R儚い魂の輝きを！$R$R$Rどうだい？$R『真冬の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,真冬の紹介状
10020794,2,71,-1,0,ボーイッシュなサラサラショート,なし,わぁ～お♪$R君は『ハイカラ紹介状』を$R持っているのかい！？$R$R$R……嗚呼ッ！感じるよッ！！$R$R$R多種多様な文化が交じり合う$R浪漫溢れる、あの古き良き時代の風が$R僕のインスピレーションを$R猛烈に刺激するよ！$R$R$Rハァハァ……、どうだい？$R『ハイカラ紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ハイカラ紹介状
10020794,2,72,63,1,清楚なストレートロング,付け毛付き,わぁ～お♪$R君は『ハイカラ紹介状』を$R持っているのかい！？$R$R$R……嗚呼ッ！感じるよッ！！$R$R$R多種多様な文化が交じり合う$R浪漫溢れる、あの古き良き時代の風が$R僕のインスピレーションを$R猛烈に刺激するよ！$R$R$Rハァハァ……、どうだい？$R『ハイカラ紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$R付け毛の方が気に入らなかったら$Rいつでも取り外してあげるから$Rまたおいでよ。,ハイカラ紹介状
10020794,2,72,-1,1,清楚なストレートロング,付け毛なし,わぁ～お♪$R君は『ハイカラ紹介状』を$R持っているのかい！？$R$R$R……嗚呼ッ！感じるよッ！！$R$R$R多種多様な文化が交じり合う$R浪漫溢れる、あの古き良き時代の風が$R僕のインスピレーションを$R猛烈に刺激するよ！$R$R$Rハァハァ……、どうだい？$R『ハイカラ紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rやっぱり、付け毛が欲しいって言うなら$Rいつでも付けてあげるから$Rまたおいでよ。,ハイカラ紹介状
10020795,2,73,-1,0,清潔感のあるミディアム,なし,わぁ～お♪$R君は『アルバイトの紹介状』を$R持っているのかい！？$R$R$Rああっ、ボクもアルバイトを$Rしていた時の事を思い出すよ♪$R$Rえ、なんのアルバイトかって？$Rあははっ！$Rそれはもちろんヘアサロンに$R決まっているじゃないか♪$R$R$Rさあ、この話はオシマイだ！$R$R『アルバイトの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,アルバイトの紹介状
10020795,2,74,-1,1,清潔感のあるショート,なし,わぁ～お♪$R君は『アルバイトの紹介状』を$R持っているのかい！？$R$R$Rああっ、ボクもアルバイトを$Rしていた時の事を思い出すよ♪$R$Rえ、なんのアルバイトかって？$Rあははっ！$Rそれはもちろんヘアサロンに$R決まっているじゃないか♪$R$R$Rさあ、この話はオシマイだ！$R$R『アルバイトの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,アルバイトの紹介状
10020796,2,75,-1,0,風格あるロングおさげ,なし,わぁ～お♪$R君は『軍式紹介状』を$R持っているのかい！？$R$R$Rと、と言うことは$R君は……！？$R$Rい、いや、止めておこう……。$R$R$Rさ、さあ、この話はオシマイだ！$R$R『軍式紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,軍式紹介状
10020796,2,76,-1,1,半人前ショートおさげ,なし,わぁ～お♪$R君は『軍式紹介状』を$R持っているのかい！？$R$R$Rと、と言うことは$R君は……！？$R$Rい、いや、止めておこう……。$R$R$Rさ、さあ、この話はオシマイだ！$R$R『軍式紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,軍式紹介状
10020797,2,77,-1,0,おとぎ話の主人公風ショート,なし,わぁ～お♪$R君は『伝説の紹介状』を$R持っているのかい！？$R$R$R憧れるよね、おとぎ話の$R主人公のようになってみたいってね。$R$Rボクもね、そんな事を$R夢見ていた時期があったのさ……。$R$R$Rさあ、この話はオシマイだ！$R$R『伝説の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,伝説の紹介状
10020797,2,78,-1,1,おとぎ話の主人公風ロング,なし,わぁ～お♪$R君は『伝説の紹介状』を$R持っているのかい！？$R$R$R憧れるよね、おとぎ話の$R主人公のようになってみたいってね。$R$Rボクもね、そんな事を$R夢見ていた時期があったのさ……。$R$R$Rさあ、この話はオシマイだ！$R$R『伝説の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,伝説の紹介状
10020799,1,81,-1,0,ティタとおそろい,なし,わぁ～お♪$R君は『ティタの紹介状』を$R持っているのかい！？$R$R$Rこの世の何処かにいると$R言われている、麗しき$R少女の髪型になれる$Rそうなんだけど……。$R$R$Rどうだい？試してみないかい？$R$R『ティタの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ティタの紹介状
10074400,2,79,-1,1,マニッシュボブ,なし,わぁ～お♪$R君は『愛され紹介状』を$R持っているのかい！？$R$R$R僕のテクニックで$R誰からでも愛される髪型に$Rしてあげるよ！$R$R『愛され紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,愛され紹介状
10074400,2,82,66,0,愛されポニー,リボン付き,わぁ～お♪$R君は『愛され紹介状』を$R持っているのかい！？$R$R$R僕のテクニックで$R誰からでも愛される髪型に$Rしてあげるよ！$R$R『愛され紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rリボンの方が気に入らなかったら$Rいつでも取り外してあげるから$Rまたおいでよ。,愛され紹介状
10074400,2,82,64,0,愛されポニー,リボンなし,わぁ～お♪$R君は『愛され紹介状』を$R持っているのかい！？$R$R$R僕のテクニックで$R誰からでも愛される髪型に$Rしてあげるよ！$R$R『愛され紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rやっぱり、リボンが欲しいって言うなら$Rいつでも付けてあげるから$Rまたおいでよ。,愛され紹介状
10074500,2,83,-1,0,世紀末が似合う髪型,なし,わぁ～お♪$R君は『北斗の紹介状』を$R持っているのかい！？$R$R$R実は、僕も北斗の拳のファンなんだよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルな$Rセットをしてあげる！$R$R$Rどうだい？$R『北斗の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,北斗の紹介状
10074800,2,84,68,0,ワイルドオールバック,なし,わぁ～お♪$R君は『夏休みの紹介状』を$R持っているのかい！？$R$R$R夏休みはどうしても髪形を$R派手にしたくなるんだよね$Rわかるよ～その気持ち！$R$R$R僕のテクニックで$R夏っぽい髪型に$Rしてあげるよ！$R$R『夏休みの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,夏休みの紹介状
10074800,2,85,-1,1,ニードルショート,なし,わぁ～お♪$R君は『夏休みの紹介状』を$R持っているのかい！？$R$R$R夏休みはどうしても髪形を$R派手にしたくなるんだよね$Rわかるよ～その気持ち！$R$R$R僕のテクニックで$R夏っぽい髪型に$Rしてあげるよ！$R$R『夏休みの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,夏休みの紹介状
10075201,2,87,69,0,ロビン・グッドフェロウとおそろい,ヘアバンド付ポニーテール,わぁ～お♪$R君は『ロビン・グッドフェロウの紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『ロビン・グッドフェロウの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rヘアバンドの方は気に入らなかったら$Rいつでも取り外してあげるから$Rまたおいでよ。,ロビンの紹介状
10075201,2,88,69,0,ロビン・グッドフェロウとおそろい,ヘアバンド無しポニーテール,わぁ～お♪$R君は『ロビン・グッドフェロウの$R紹介状』を持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『ロビン・グッドフェロウの紹介状』$Rを使って君の髪を$Rセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rやっぱり、ヘアバンドが欲しいって$R言うならいつでも付けてあげるから$Rまたおいでよ。,ロビンの紹介状
10075202,2,86,-1,0,厳島 美晴とおそろい,なし,わぁ～お♪$R君は『厳島 美晴の紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『厳島 美晴の紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,美晴の紹介状
10020798,1,80,65,0,マーシャとおそろい,なし,わぁ～お♪$R君は『マーシャの紹介状』を$R持っているのかい！？$R$R$Rこの世の何処かにいると$R言われている、可憐な$R少女の髪型になれる$Rそうなんだけど……。$R$R$Rどうだい？試してみないかい？$R$R『マーシャの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,マーシャの紹介状
10075205,2,95,-1,0,ハングリー風の髪型,なし,わぁ～お♪$R君は『ハングリー紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『ハングリー紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ハングリー紹介状
10075204,2,94,-1,0,コウモリタ風の髪型,なし,わぁ～お♪$R君は『コウモリタ紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『コウモリタ紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,コウモリタ紹介状
10075203,2,98,-1,0,スイートドーリーボブ,なし,わぁ～お♪$R君は『アングリー紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『アングリー紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,アングリー紹介状
10075203,2,93,70,1,ドーリーカールヘア,ヘッドドレス付き,わぁ～お♪$R君は『アングリー紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『アングリー紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$R$Pヘッドドレスの方が$R気に入らなかったら$Rいつでも取り外してあげるから$Rまたおいでよ。,アングリー紹介状
10075203,2,93,71,1,ドーリーカールヘア,ヘッドドレスなし,わぁ～お♪$R君は『アングリー紹介状』を$R持っているのかい！？$R$R$R…ああっ、感じるよ！$R僕の体を通して湧き出る$Rこの不思議な力を！$R…いまなら素敵な髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『アングリー紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$R$Pやっぱり、ヘッドドレスが$R欲しいって言うなら$Rいつでも付けてあげるから$Rまたおいでよ。,アングリー紹介状
10075206,2,99,-1,0,ナチュラルロングウェーブ,なし,わぁ～お♪$R君は『西洋ロマンの紹介状』を$R持っているのかい！？$R$R$R西洋かぁ…まだ見ぬ人たち…$R見たこともない風景…$R言葉さえ違う、遠い地へ思いを馳せる…$Rそれがロマンだよね！$R$R$R…いまなら異国情緒満載の髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『西洋ロマンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,西洋ロマンの紹介状
10075206,2,100,-1,1,シャギーハイレイヤー,なし,わぁ～お♪$R君は『西洋ロマンの紹介状』を$R持っているのかい！？$R$R$R西洋かぁ…まだ見ぬ人たち…$R見たこともない風景…$R言葉さえ違う、遠い地へ思いを馳せる…$Rそれがロマンだよね！$R$R$R…いまなら異国情緒満載の髪型を君に$Rプレゼントできそうだよ。$R$R$Rどうだい？$R『西洋ロマンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,西洋ロマンの紹介状
10075210,0,47,75,0,歌姫のゴージャスな髪型,なし,わぁ～お♪$R君は『歌姫の紹介状（ゴージャス）』を$R持っているのかい！？$R$R$R……フン♪フフ～ン♪$R音楽っていいよね～♪$R$R音楽はボクたちの荒んだ心を癒し$R心を豊かにしてくれる♪$R$R$R♪～……ッ！！$R$Rき、きたーッ！$Rこのボクの頭から足の爪先まで$Rビビビッってきたよ～！$R$R$R今ならキミに｢音｣を感じる$R素敵な髪型を送ることが出来そうだよ$R$R『歌姫の紹介状（ゴージャス）』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,歌姫の紹介状（ゴージャス）
